recoil_energy,scintillation_light,ionization_charge,s1_s2_ratio,pulse_shape,position,time_of_event,particle_type
1.9096891207896483,1.7362,1.1444,1.5171,0.5993,"{'x': np.float64(2.8174188163528555), 'y': np.float64(-0.8055789202704116), 'z': np.float64(7.767779614043736)}",2025-10-11T02:42:57.322065,Axion-like
4.773055380818079,4.006,4.7596,0.8417,0.6244,"{'x': np.float64(0.014992038217213732), 'y': np.float64(4.951124965301567), 'z': np.float64(-5.984612901113719)}",2025-10-11T02:42:57.322065,WIMP-like
3.4667275797656614,3.8268,2.7339,1.3998,0.4845,"{'x': np.float64(4.391054279641702), 'y': np.float64(2.603148630486224), 'z': np.float64(-7.279903188708429)}",2025-10-11T02:42:57.322065,Axion-like
4.332184375905825,4.0772,3.7358,1.0914,0.5611,"{'x': np.float64(-5.3936023982533925), 'y': np.float64(-8.604411514589662), 'z': np.float64(-3.5338233890356445)}",2025-10-11T02:42:57.322065,WIMP-like
7.188475559754084,8.2749,7.845,1.0548,0.4425,"{'x': np.float64(-8.361169904014147), 'y': np.float64(8.14562916645626), 'z': np.float64(8.210253532003048)}",2025-10-11T02:42:57.322065,WIMP-like
6.0747515611536596,5.7728,6.3159,0.914,0.6479,"{'x': np.float64(-8.566782761909549), 'y': np.float64(0.017927337290808865), 'z': np.float64(-3.9821398206265846)}",2025-10-11T02:42:57.322065,Background
3.691783960553182,3.5718,2.646,1.3499,0.593,"{'x': np.float64(3.788858403680811), 'y': np.float64(-0.1520576310066417), 'z': np.float64(0.3988768308505577)}",2025-10-11T02:42:57.322065,Background
8.67350028488142,9.2994,5.8097,1.6007,0.4096,"{'x': np.float64(-0.6727881563017473), 'y': np.float64(3.391095542118631), 'z': np.float64(3.581498251380628)}",2025-10-11T02:42:57.322065,WIMP-like
6.514512263951958,6.5241,4.3494,1.5,0.416,"{'x': np.float64(3.2359793963315333), 'y': np.float64(2.686165850839892), 'z': np.float64(-0.685151538331187)}",2025-10-11T02:42:57.322065,WIMP-like
,4.0649,2.8928,1.4051,0.444,"{'x': np.float64(-0.3839420101851765), 'y': np.float64(-7.716595287134222), 'z': np.float64(5.20878750037876)}",2025-10-11T02:42:57.322065,Background
8.336634684868422,7.4609,6.239,1.1958,0.6011,"{'x': np.float64(-8.74531246978351), 'y': np.float64(-8.878036747216942), 'z': np.float64(4.371066119986915)}",2025-10-11T02:42:57.322065,WIMP-like
5.226852795312034,4.8758,,1.2043,0.408,"{'x': np.float64(-1.7339608459641749), 'y': np.float64(-1.3867700845602435), 'z': np.float64(8.703014003893433)}",2025-10-11T02:42:57.322065,Background
3.2211405081225704,3.6356,3.2196,1.1292,0.4265,"{'x': np.float64(4.079078598229952), 'y': np.float64(2.6989990150481518), 'z': np.float64(6.979806659179907)}",2025-10-11T02:42:57.322065,Axion-like
5.8869180518814765,5.4415,5.1174,1.0633,0.5511,"{'x': np.float64(2.701509435294362), 'y': np.float64(-8.61051696333327), 'z': np.float64(-9.679405687192322)}",2025-10-11T02:42:57.322065,WIMP-like
6.376609811014284,5.801,4.5498,1.275,0.418,"{'x': np.float64(9.911109342561861), 'y': np.float64(-1.3653410755505746), 'z': np.float64(2.2439012408969603)}",2025-10-11T02:42:57.322065,Axion-like
3.7128372689570512,3.4427,,1.4577,0.3065,"{'x': np.float64(-3.2784062728862544), 'y': np.float64(6.998872629019029), 'z': np.float64(5.216883938988662)}",2025-10-11T02:42:57.322065,WIMP-like
7.924331976416298,9.1305,6.0237,1.5158,0.4534,"{'x': np.float64(-3.893695118965457), 'y': np.float64(6.49228963783386), 'z': np.float64(-7.242375196410427)}",2025-10-11T02:42:57.322065,Background
2.11961733419261,1.7725,2.0972,0.8452,0.4998,"{'x': np.float64(-7.978984227654131), 'y': np.float64(-2.799479402943426), 'z': np.float64(3.75515890019461)}",2025-10-11T02:42:57.322065,Axion-like
4.948902249974751,5.2554,4.1153,1.277,0.6593,"{'x': np.float64(9.235000208057727), 'y': np.float64(-8.200958830779406), 'z': np.float64(-8.815115105341393)}",2025-10-11T02:42:57.322065,Background
,3.5458,3.327,1.0658,0.5621,"{'x': np.float64(-5.442040357951987), 'y': np.float64(-6.462125107181354), 'z': np.float64(-1.0712843157844034)}",2025-10-11T02:42:57.322065,WIMP-like
2.827841955278358,2.7284,1.8421,1.4812,0.4294,"{'x': np.float64(8.261426327007392), 'y': np.float64(-0.22071764066764743), 'z': np.float64(-6.129904093230591)}",2025-10-11T02:42:57.322065,Background
6.202768104328324,6.9993,6.1021,1.147,0.6421,"{'x': np.float64(-5.563603847581882), 'y': np.float64(7.860991290690983), 'z': np.float64(3.1389721613217034)}",2025-10-11T02:42:57.322065,Background
3.2478573195945994,3.1807,3.3531,0.9486,0.4599,"{'x': np.float64(8.892299376331124), 'y': np.float64(5.9837644561830885), 'z': np.float64(-2.9877245280371145)}",2025-10-11T02:42:57.322065,Axion-like
2.247232118375478,2.3964,1.7936,1.336,0.4937,"{'x': np.float64(-4.489714772244624), 'y': np.float64(-0.7730611800296145), 'z': np.float64(0.8164628239477665)}",2025-10-11T02:42:57.322065,WIMP-like
6.170374007165982,5.0106,5.1214,0.9784,0.5246,"{'x': np.float64(-1.8322032372510844), 'y': np.float64(-4.724270331853604), 'z': np.float64(-9.245734204334802)}",2025-10-11T02:42:57.323064,Background
5.251802671494095,4.5549,5.667,0.8038,0.4925,"{'x': np.float64(0.2718283380654025), 'y': np.float64(0.3434781863657399), 'z': np.float64(-9.914083688169757)}",2025-10-11T02:42:57.323064,Background
5.452058208981509,5.5088,3.3744,1.6325,0.4735,"{'x': np.float64(-2.2101114503196317), 'y': np.float64(-2.639200881346744), 'z': np.float64(5.971768099219103)}",2025-10-11T02:42:57.323064,Background
2.104177882074531,2.474,1.6269,1.5207,0.3768,"{'x': np.float64(6.013794020502036), 'y': np.float64(-6.680120505659581), 'z': np.float64(5.71270545589522)}",2025-10-11T02:42:57.323064,Background
3.333471143146636,3.0158,3.5808,0.8422,0.4979,"{'x': np.float64(-1.2881030916453824), 'y': np.float64(-7.5611990706315275), 'z': np.float64(8.232053578249008)}",2025-10-11T02:42:57.323064,Background
1.5697568000162618,1.521,1.3505,1.1263,0.4902,"{'x': np.float64(4.496996843120581), 'y': np.float64(-6.3582922742320065), 'z': np.float64(6.745486314391091)}",2025-10-11T02:42:57.323064,Axion-like
2.131491856163938,2.0643,1.4142,1.4597,0.5819,"{'x': np.float64(9.469750697498668), 'y': np.float64(-4.274725494224938), 'z': np.float64(-2.2951459705451676)}",2025-10-11T02:42:57.323064,Axion-like
13.539796446039443,13.4602,11.1863,1.2033,0.3822,"{'x': np.float64(1.8126187407699934), 'y': np.float64(-1.337838082821568), 'z': np.float64(-9.270642978636017)}",2025-10-11T02:42:57.323064,Axion-like
4.623109466696627,3.8609,4.502,0.8576,0.6467,"{'x': np.float64(2.608339729605449), 'y': np.float64(2.2260770660930866), 'z': np.float64(8.722700154880346)}",2025-10-11T02:42:57.323064,Background
3.990865718281117,4.0757,3.3359,1.2218,0.5056,"{'x': np.float64(8.89332022628076), 'y': np.float64(2.8952882818843246), 'z': np.float64(0.6581999262731575)}",2025-10-11T02:42:57.323064,WIMP-like
12.374112856029306,14.6197,11.0633,1.3215,0.4289,"{'x': np.float64(-2.357640012679008), 'y': np.float64(3.611440839675442), 'z': np.float64(-5.988692056925691)}",2025-10-11T02:42:57.323064,Axion-like
5.0055878193462116,4.0195,4.4951,0.8942,0.4587,"{'x': np.float64(-7.3775446499312824), 'y': np.float64(-9.639201120206959), 'z': np.float64(8.305359919397048)}",2025-10-11T02:42:57.323064,Background
4.625731985635649,4.7692,4.5897,1.0391,0.5068,"{'x': np.float64(-5.147050899823434), 'y': np.float64(-4.623275689848616), 'z': np.float64(9.549177113187039)}",2025-10-11T02:42:57.323064,Background
2.746368158688699,2.3581,1.9685,1.1979,0.4823,"{'x': np.float64(-6.682275627248471), 'y': np.float64(1.2130818785934832), 'z': np.float64(-1.4065039860103123)}",2025-10-11T02:42:57.323064,Axion-like
8.35879433072851,7.5562,6.2827,1.2027,0.3219,"{'x': np.float64(1.67237414026485), 'y': np.float64(0.875241282311908), 'z': np.float64(3.2964390427711407)}",2025-10-11T02:42:57.323064,Axion-like
5.2855060780684004,6.1945,4.85,1.2772,0.3563,"{'x': np.float64(5.246547193343039), 'y': np.float64(7.1894447183340695), 'z': np.float64(7.496781920160217)}",2025-10-11T02:42:57.323064,Axion-like
7.437794075004274,8.0004,5.1402,1.5564,0.5035,"{'x': np.float64(-7.526077095074717), 'y': np.float64(7.379498601977922), 'z': np.float64(6.311361631977846)}",2025-10-11T02:42:57.323064,WIMP-like
2.6846412202961796,2.4808,1.7492,1.4182,0.599,"{'x': np.float64(4.028616111847263), 'y': np.float64(2.4748106678684003), 'z': np.float64(0.2945923669741273)}",2025-10-11T02:42:57.323064,WIMP-like
2.7111781852651724,2.8306,2.5768,1.0985,0.4665,"{'x': np.float64(3.266131046362208), 'y': np.float64(-4.539482843719378), 'z': np.float64(1.5109831665923767)}",2025-10-11T02:42:57.323064,WIMP-like
7.808068090692447,8.5838,6.2818,1.3665,0.4564,"{'x': np.float64(-2.2857105178094255), 'y': np.float64(-9.257647928547861), 'z': np.float64(-4.21999713767873)}",2025-10-11T02:42:57.323064,Axion-like
4.314695209183692,3.7593,3.9841,0.9436,0.5401,"{'x': np.float64(5.731300476005492), 'y': np.float64(7.354796476363372), 'z': np.float64(3.5264066163034418)}",2025-10-11T02:42:57.323064,Axion-like
3.1413013067835927,3.5882,,1.372,0.6676,"{'x': np.float64(1.075009493877177), 'y': np.float64(-1.378892525767423), 'z': np.float64(7.673469719061636)}",2025-10-11T02:42:57.323064,Axion-like
8.409549482045865,8.3939,5.8478,1.4354,0.5516,"{'x': np.float64(-3.9986414732817543), 'y': np.float64(-5.155480838331652), 'z': np.float64(-8.309544468663866)}",2025-10-11T02:42:57.323064,Background
4.943337429521122,5.568,3.0288,1.8384,0.363,"{'x': np.float64(-3.1853122521059145), 'y': np.float64(6.2644333947084725), 'z': np.float64(-1.2645889419109029)}",2025-10-11T02:42:57.323064,Background
5.376045025608768,4.6883,4.3,1.0903,0.449,"{'x': np.float64(-9.397643673205692), 'y': np.float64(1.3158844257181634), 'z': np.float64(-9.24406033683443)}",2025-10-11T02:42:57.323064,Axion-like
4.599202258966638,5.0988,3.5506,1.436,0.3774,"{'x': np.float64(-7.0645805106493125), 'y': np.float64(-2.510551139703539), 'z': np.float64(-6.686768811280905)}",2025-10-11T02:42:57.323064,Axion-like
9.204276392022809,7.4001,7.1243,1.0387,0.3221,"{'x': np.float64(-3.3215848404082564), 'y': np.float64(-7.406242899899283), 'z': np.float64(5.516082638544759)}",2025-10-11T02:42:57.323064,Background
10.802811794147145,9.6256,7.9729,1.2073,0.5018,"{'x': np.float64(-2.5860345060896828), 'y': np.float64(-0.5608369394909207), 'z': np.float64(-8.979221676065873)}",2025-10-11T02:42:57.323064,WIMP-like
2.4534281679519383,2.2966,2.6096,0.88,0.5951,"{'x': np.float64(-4.137683242094545), 'y': np.float64(4.02529340715674), 'z': np.float64(-6.699307669979517)}",2025-10-11T02:42:57.323064,Axion-like
17.88648216177249,18.5153,19.1294,0.9679,0.4825,"{'x': np.float64(-1.0449433928611995), 'y': np.float64(-8.50050092648219), 'z': np.float64(6.3271852033029035)}",2025-10-11T02:42:57.323064,Axion-like
5.463089528035486,6.2541,5.2445,1.1925,0.581,"{'x': np.float64(2.4554381121197633), 'y': np.float64(-4.396321661342622), 'z': np.float64(1.4317621740465043)}",2025-10-11T02:42:57.323064,WIMP-like
2.1047249269497983,2.0528,1.9352,1.0607,0.5451,"{'x': np.float64(9.679716741450623), 'y': np.float64(-3.621984221383072), 'z': np.float64(8.704052241353118)}",2025-10-11T02:42:57.323064,Axion-like
4.544501149965339,4.7853,4.4577,1.0735,0.3371,"{'x': np.float64(-0.3516152367133323), 'y': np.float64(-9.017173893377437), 'z': np.float64(-6.217747672646063)}",2025-10-11T02:42:57.324064,Background
,6.2163,4.8239,1.2887,0.6895,"{'x': np.float64(-4.247180688648797), 'y': np.float64(-5.5805601119451875), 'z': np.float64(4.334116202127301)}",2025-10-11T02:42:57.324064,WIMP-like
3.2844550131277215,3.2301,2.8567,1.1307,0.5891,"{'x': np.float64(2.5706775337352994), 'y': np.float64(8.665821684858287), 'z': np.float64(2.5112036389173262)}",2025-10-11T02:42:57.324064,Axion-like
3.0615216586952583,2.7013,2.9031,0.9305,0.55,"{'x': np.float64(-0.9284719632962535), 'y': np.float64(0.6055933758755891), 'z': np.float64(-7.509003561286303)}",2025-10-11T02:42:57.324064,WIMP-like
8.521701989963187,9.4864,8.3269,1.1392,0.5753,"{'x': np.float64(4.888272101837947), 'y': np.float64(4.174388558226283), 'z': np.float64(1.446769129557124)}",2025-10-11T02:42:57.324064,Axion-like
5.073275054242097,4.4916,5.4817,0.8194,0.4444,"{'x': np.float64(1.2860108157985337), 'y': np.float64(-2.3363531850258923), 'z': np.float64(9.935933201158257)}",2025-10-11T02:42:57.324064,WIMP-like
,10.4636,9.0732,1.1532,0.5737,"{'x': np.float64(2.3194315090415873), 'y': np.float64(3.2113689565543275), 'z': np.float64(-4.270286700814408)}",2025-10-11T02:42:57.324064,Axion-like
6.84401709789137,5.8438,4.6863,1.247,0.3989,"{'x': np.float64(3.532572261515485), 'y': np.float64(-3.640724142124032), 'z': np.float64(9.886412873283533)}",2025-10-11T02:42:57.324064,WIMP-like
3.3208430396182087,3.3695,3.225,1.0448,0.5826,"{'x': np.float64(-7.410838403583608), 'y': np.float64(-5.945750276586425), 'z': np.float64(-1.0876634880013079)}",2025-10-11T02:42:57.324064,Axion-like
2.3312312041500793,2.0594,1.4866,1.3852,0.4925,"{'x': np.float64(3.688576149931082), 'y': np.float64(8.170604709620633), 'z': np.float64(-3.75816864807822)}",2025-10-11T02:42:57.324064,Background
8.234900488281248,7.71,5.7753,1.335,0.5679,"{'x': np.float64(3.854261582866755), 'y': np.float64(-4.600015301474918), 'z': np.float64(-4.368849688163003)}",2025-10-11T02:42:57.324064,WIMP-like
3.4478780542628136,3.3718,3.3961,0.9928,0.4021,"{'x': np.float64(-9.827332455526212), 'y': np.float64(-7.760021162450772), 'z': np.float64(-8.355807977731688)}",2025-10-11T02:42:57.324064,Axion-like
2.6530774068984186,2.7895,1.8546,1.5041,0.4363,"{'x': np.float64(-3.0075913141718713), 'y': np.float64(-9.626412231044636), 'z': np.float64(4.861541824531583)}",2025-10-11T02:42:57.324064,Background
5.43907852580637,4.933,4.9686,0.9928,0.5398,"{'x': np.float64(2.151861693622866), 'y': np.float64(6.475819732944842), 'z': np.float64(6.640365901006476)}",2025-10-11T02:42:57.324064,Axion-like
6.675583583911176,5.8367,4.1336,1.412,0.5146,"{'x': np.float64(1.5044052941386745), 'y': np.float64(0.2973496774531661), 'z': np.float64(0.05219019905566569)}",2025-10-11T02:42:57.324064,Axion-like
5.478361376005174,5.918,5.3673,1.1026,0.5523,"{'x': np.float64(-2.8202716664045413), 'y': np.float64(-2.0530418426496695), 'z': np.float64(-7.85961186163852)}",2025-10-11T02:42:57.324574,Axion-like
3.853138833607195,4.116,3.9997,1.0291,0.5156,"{'x': np.float64(-8.666369755367837), 'y': np.float64(4.530375035776771), 'z': np.float64(2.5551880687987314)}",2025-10-11T02:42:57.324574,Axion-like
2.7776872770527565,3.0019,2.5678,1.1691,0.4821,"{'x': np.float64(0.47717583022008014), 'y': np.float64(-6.215206909362864), 'z': np.float64(-9.346209855906878)}",2025-10-11T02:42:57.324574,Background
3.3652591642738616,3.9319,2.3994,1.6387,0.4779,"{'x': np.float64(-3.431504923795254), 'y': np.float64(-1.9457659921953407), 'z': np.float64(-9.98599275474016)}",2025-10-11T02:42:57.324574,Background
6.244645962711275,5.5136,4.3734,1.2607,0.5514,"{'x': np.float64(8.271789283076675), 'y': np.float64(8.211549319370445), 'z': np.float64(-2.2101221328817537)}",2025-10-11T02:42:57.324574,Axion-like
4.29847782907984,5.087,3.8528,1.3203,0.4829,"{'x': np.float64(8.402063765886599), 'y': np.float64(6.204821372396783), 'z': np.float64(-0.6177461670881872)}",2025-10-11T02:42:57.324574,WIMP-like
13.557379894858018,11.8987,9.0603,1.3133,0.5314,"{'x': np.float64(3.176955110734676), 'y': np.float64(9.768565429679445), 'z': np.float64(-5.368385169048359)}",2025-10-11T02:42:57.324574,WIMP-like
5.99976882255798,5.7744,4.1468,1.3925,0.319,"{'x': np.float64(3.918407165491324), 'y': np.float64(-2.144321807236338), 'z': np.float64(7.1713987729724735)}",2025-10-11T02:42:57.324574,WIMP-like
4.980307057885942,5.6384,5.289,1.066,0.4146,"{'x': np.float64(-8.920695692341464), 'y': np.float64(-9.39850487359995), 'z': np.float64(5.977487404165521)}",2025-10-11T02:42:57.324574,WIMP-like
3.5739175228242526,4.2361,2.5778,1.6433,0.6522,"{'x': np.float64(-7.464460415509793), 'y': np.float64(-0.23615278957724328), 'z': np.float64(-5.426538717617704)}",2025-10-11T02:42:57.324574,Background
2.0544413222022224,1.9827,2.1369,0.9278,0.4877,"{'x': np.float64(5.908856952988513), 'y': np.float64(8.980973337202066), 'z': np.float64(0.7989763656685529)}",2025-10-11T02:42:57.324574,Background
3.9534458613331407,4.3898,4.1701,1.0527,0.5378,"{'x': np.float64(4.405226351474578), 'y': np.float64(-5.333803532661179), 'z': np.float64(-7.9393565949798965)}",2025-10-11T02:42:57.324574,Background
5.9200321004298155,6.7915,3.9707,1.7104,0.4991,"{'x': np.float64(9.682928342672234), 'y': np.float64(5.115874639157845), 'z': np.float64(-6.615751529289076)}",2025-10-11T02:42:57.324574,Axion-like
4.006274726465433,3.5135,3.6054,0.9745,0.6179,"{'x': np.float64(6.177310057032255), 'y': np.float64(-7.559942138030767), 'z': np.float64(5.014645535150992)}",2025-10-11T02:42:57.324574,WIMP-like
5.9161220042488125,5.3965,5.3832,1.0025,0.389,"{'x': np.float64(-5.684009979727687), 'y': np.float64(9.43551223244986), 'z': np.float64(2.1114659000568015)}",2025-10-11T02:42:57.324574,WIMP-like
10.552644019565221,11.4751,8.5356,1.3444,0.6945,"{'x': np.float64(4.578025291696541), 'y': np.float64(5.788091915815874), 'z': np.float64(-7.063024001584424)}",2025-10-11T02:42:57.324574,Background
3.959338449722728,3.3959,3.0402,1.117,0.3849,"{'x': np.float64(2.105562538048888), 'y': np.float64(3.940971853060372), 'z': np.float64(0.7218726530344064)}",2025-10-11T02:42:57.324574,Background
1.6010932421710753,1.2345,1.6151,0.7644,0.5457,"{'x': np.float64(9.972176274159409), 'y': np.float64(-9.798106448834673), 'z': np.float64(9.874605748186013)}",2025-10-11T02:42:57.324574,Background
